	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1/2-SBSRNA4	45.652	0.268	0.188	1.424	0.154	0.264
A1BG	61.093	0.209	0.174	1.202	0.229	0.357
A1BG-AS1	175.666	-0.052	0.124	-0.418	0.676	0.781
A1CF	0.238	0.013	0.049	0.265	0.791	
A2LD1	89.618	0.345	0.16	2.157	0.031	0.072
A2M	5.86	-0.274	0.179	-1.529	0.126	0.226
A2ML1	2.424	0.24	0.137	1.746	0.081	
A2MP1	1.32	0.081	0.101	0.804	0.421	
A4GALT	64.541	0.798	0.172	4.647	0.0	0.0
A4GNT	0.191	0.01	0.042	0.226	0.821	
AA06	0.0					
AAA1	0.104	0.009	0.042	0.226	0.821	
AAAS	1453.667	-0.043	0.066	-0.652	0.514	0.648
AACS	860.187	-0.045	0.073	-0.624	0.533	0.664
AACSP1	1.46	-0.04	0.108	-0.367	0.714	
AADAC	0.0					
AADACL2	0.0					
AADACL3	0.0					
AADACL4	0.216	0.025	0.048	0.525	0.599	
AADAT	535.383	-0.043	0.083	-0.52	0.603	0.722
AAGAB	2613.707	-0.39	0.054	-7.192	0.0	0.0
AAK1	1511.471	-0.052	0.064	-0.813	0.416	0.558
AAMP	3156.701	-0.38	0.05	-7.613	0.0	0.0
AANAT	6.945	0.212	0.186	1.143	0.253	0.385
AARS	3690.033	0.167	0.048	3.476	0.001	0.002
AARS2	2255.391	-0.204	0.051	-3.963	0.0	0.0
AARSD1	873.807	0.159	0.07	2.252	0.024	0.059
AASDH	796.36	0.17	0.07	2.44	0.015	0.039
AASDHPPT	3560.523	-0.293	0.053	-5.514	0.0	0.0
AASS	1018.378	0.347	0.08	4.363	0.0	0.0
AATF	2613.471	-0.29	0.051	-5.638	0.0	0.0
AATK	264.022	0.212	0.118	1.796	0.073	0.145
AATK-AS1	2.589	0.014	0.133	0.107	0.915	0.949
ABAT	384.161	0.384	0.093	4.132	0.0	0.0
ABCA1	108.221	0.833	0.152	5.494	0.0	0.0
ABCA10	20.507	-0.482	0.208	-2.317	0.021	0.051
ABCA11P	195.456	0.009	0.119	0.072	0.943	0.966
ABCA12	5.862	-0.184	0.175	-1.051	0.293	0.43
ABCA13	4.557	-0.135	0.166	-0.815	0.415	0.557
ABCA17P	11.503	-0.073	0.203	-0.361	0.718	0.811
ABCA2	859.232	0.274	0.086	3.19	0.001	0.005
ABCA3	811.096	0.132	0.083	1.598	0.11	0.202
ABCA4	7.413	-0.049	0.189	-0.259	0.796	0.867
ABCA5	1039.853	-0.209	0.069	-3.008	0.003	0.009
ABCA6	6.125	-0.611	0.182	-3.358	0.001	0.003
ABCA7	387.332	0.074	0.098	0.759	0.448	0.588
ABCA8	43.059	-0.157	0.189	-0.832	0.406	0.547
ABCA9	11.227	-0.839	0.2	-4.183	0.0	0.0
ABCB1	729.17	-0.145	0.074	-1.95	0.051	0.109
ABCB10	1483.442	-0.13	0.069	-1.891	0.059	0.122
ABCB11	1.216	0.003	0.103	0.026	0.979	
ABCB4	137.15	0.624	0.139	4.496	0.0	0.0
ABCB5	4.247	-0.095	0.162	-0.586	0.558	0.686
ABCB6	246.004	0.129	0.112	1.148	0.251	0.383
ABCB7	1427.086	0.217	0.058	3.747	0.0	0.001
ABCB8	1030.244	-0.109	0.083	-1.323	0.186	0.305
ABCB9	205.678	-0.286	0.122	-2.348	0.019	0.048
ABCC1	1824.136	0.004	0.056	0.067	0.947	0.968
ABCC10	575.224	-0.043	0.081	-0.532	0.595	0.716
ABCC11	14.503	-0.046	0.207	-0.222	0.824	0.886
ABCC12	0.585	-0.025	0.073	-0.344	0.731	
ABCC13	0.112	0.009	0.042	0.226	0.821	
ABCC2	93.469	-0.452	0.155	-2.909	0.004	0.012
ABCC3	2.206	-0.032	0.132	-0.241	0.809	
ABCC4	670.04	-0.111	0.075	-1.478	0.139	0.245
ABCC5	2012.896	-0.108	0.058	-1.86	0.063	0.129
ABCC6	87.808	0.396	0.16	2.481	0.013	0.035
ABCC6P1	24.89	0.476	0.205	2.324	0.02	0.05
ABCC6P2	7.0	0.307	0.188	1.637	0.102	0.19
ABCC8	59.771	0.127	0.182	0.699	0.484	0.621
ABCC9	3.91	0.111	0.155	0.714	0.475	0.613
ABCD1	232.739	-0.148	0.126	-1.177	0.239	0.369
ABCD2	43.919	0.173	0.187	0.926	0.355	0.495
ABCD3	3040.323	-0.141	0.069	-2.057	0.04	0.089
ABCD4	1188.282	-0.134	0.065	-2.064	0.039	0.087
ABCE1	4177.092	-0.155	0.061	-2.546	0.011	0.03
ABCF1	5876.27	-0.29	0.049	-5.955	0.0	0.0
ABCF2	3488.648	-0.474	0.051	-9.239	0.0	0.0
ABCF3	984.473	-0.1	0.071	-1.421	0.155	0.266
ABCG1	111.542	0.317	0.142	2.235	0.025	0.061
ABCG2	209.049	-0.466	0.118	-3.956	0.0	0.0
ABCG4	140.586	0.207	0.139	1.492	0.136	0.239
ABCG5	1.717	-0.142	0.118	-1.204	0.229	
ABCG8	1.733	0.114	0.119	0.95	0.342	
ABHD1	44.298	0.447	0.192	2.33	0.02	0.05
ABHD10	2173.419	-0.021	0.064	-0.331	0.741	0.829
ABHD11	495.217	-0.056	0.086	-0.648	0.517	0.65
ABHD11-AS1	1.861	-0.161	0.113	-1.425	0.154	
ABHD12	963.586	-0.034	0.073	-0.465	0.642	0.755
ABHD12B	0.0					
ABHD13	606.997	0.358	0.08	4.46	0.0	0.0
ABHD14A	101.368	-0.02	0.162	-0.125	0.9	0.939
ABHD14A-ACY1	0.0					
ABHD14B	493.726	0.763	0.098	7.801	0.0	0.0
ABHD15	468.171	0.123	0.086	1.437	0.151	0.259
ABHD16A	461.891	0.027	0.087	0.312	0.755	0.84
ABHD16B	1.316	-0.064	0.108	-0.592	0.554	
ABHD2	2097.454	0.099	0.054	1.818	0.069	0.139
ABHD3	686.751	-0.119	0.079	-1.503	0.133	0.235
ABHD4	461.441	0.09	0.091	0.988	0.323	0.462
ABHD5	937.328	-0.054	0.079	-0.688	0.491	0.627
ABHD6	244.646	0.238	0.108	2.209	0.027	0.065
ABHD8	541.46	-0.146	0.089	-1.638	0.101	0.19
ABI1	1526.699	0.054	0.064	0.847	0.397	0.539
ABI2	3996.004	-0.087	0.047	-1.846	0.065	0.132
ABI3	2.387	0.085	0.133	0.641	0.521	
ABI3BP	40.79	0.655	0.195	3.352	0.001	0.003
ABL1	2763.604	-0.201	0.05	-4.006	0.0	0.0
ABL2	1755.78	0.685	0.064	10.723	0.0	0.0
ABLIM1	2728.211	-0.298	0.05	-5.948	0.0	0.0
ABLIM2	41.773	0.281	0.192	1.465	0.143	0.249
ABLIM3	95.035	0.538	0.155	3.463	0.001	0.002
ABO	1.714	-0.14	0.119	-1.176	0.24	
ABP1	1.369	0.012	0.106	0.11	0.912	
ABR	1927.546	-0.289	0.059	-4.924	0.0	0.0
ABRA	0.0					
ABT1	1902.294	-0.285	0.063	-4.55	0.0	0.0
ABTB1	160.137	0.221	0.126	1.748	0.08	0.158
ABTB2	678.729	0.005	0.079	0.062	0.951	0.97
ACAA1	839.922	-0.176	0.08	-2.191	0.028	0.067
ACAA2	876.817	-0.066	0.069	-0.953	0.341	0.482
ACACA	3868.821	-0.029	0.052	-0.564	0.572	0.698
ACACB	472.582	-0.093	0.087	-1.068	0.285	0.421
ACAD10	491.334	0.325	0.085	3.805	0.0	0.001
ACAD11	97.074	0.282	0.156	1.81	0.07	0.141
ACAD8	607.106	-0.07	0.078	-0.898	0.369	0.51
ACAD9	1724.724	-0.283	0.055	-5.157	0.0	0.0
ACADL	107.496	-0.394	0.147	-2.678	0.007	0.022
ACADM	2093.326	0.102	0.058	1.777	0.076	0.15
ACADS	198.344	0.314	0.123	2.552	0.011	0.03
ACADSB	1196.281	-0.263	0.063	-4.197	0.0	0.0
ACADVL	1325.117	0.667	0.078	8.541	0.0	0.0
ACAN	19.634	0.827	0.208	3.982	0.0	0.0
ACAP1	5.436	0.119	0.176	0.676	0.499	0.635
